,_id,date,quantity,revenue,ordersCount
0,61b7404307b79a564847b3b1,2021-01-01,26,442.0,16
1,61b7404307b79a564847b3d6,2021-01-02,38,646.0,28
2,61b7404307b79a564847b406,2021-01-03,29,493.0,22
3,61b7404307b79a564847b430,2021-01-04,29,493.0,22
4,61b7404307b79a564847b470,2021-01-05,11,187.0,8
5,61b7404307b79a564847b4bb,2021-01-06,18,306.0,14
6,61b7404307b79a564847b50f,2021-01-07,20,340.0,16
7,61b7404307b79a564847b564,2021-01-08,31,527.0,20
8,61b7404307b79a564847b5be,2021-01-09,28,476.0,22
9,61b7404307b79a564847b604,2021-01-10,23,391.0,14
10,61b7404307b79a564847b650,2021-01-11,11,187.0,10
11,61b7404307b79a564847b692,2021-01-12,19,323.0,15
12,61b7404307b79a564847b6e3,2021-01-13,13,221.0,10
13,61b7404307b79a564847b73d,2021-01-14,19,323.0,14
14,61b7404307b79a564847b786,2021-01-15,27,459.0,21
15,61b7404307b79a564847b7d8,2021-01-16,3,51.0,3
16,61b7404307b79a564847b81e,2021-01-17,2,34.0,1
17,61b7404307b79a564847b859,2021-01-18,15,255.0,9
18,61b7404307b79a564847b8a4,2021-01-19,4,68.0,3
19,61b7404307b79a564847b8e4,2021-01-20,16,272.0,10
20,61b7404307b79a564847b928,2021-01-21,18,306.0,15
21,61b7404307b79a564847b970,2021-01-22,29,493.0,21
22,61b7404307b79a564847b9bd,2021-01-23,29,493.0,21
23,61b7404307b79a564847ba02,2021-01-24,14,238.0,9
24,61b7404307b79a564847ba43,2021-01-25,9,153.0,8
25,61b7404307b79a564847ba85,2021-01-26,11,187.0,9
26,61b7404307b79a564847bac6,2021-01-27,17,289.0,12
27,61b7404307b79a564847bb11,2021-01-28,29,493.0,19
28,61b7404307b79a564847bb5c,2021-01-29,50,850.0,37
29,61b7404307b79a564847bba9,2021-01-30,15,255.0,11
30,61b7404307b79a564847bbee,2021-01-31,12,204.0,7
31,61b7404307b79a564847bc3d,2021-02-01,8,136.0,7
32,61b7404307b79a564847bc81,2021-02-02,24,408.0,18
33,61b7404307b79a564847bccf,2021-02-03,14,238.0,10
34,61b7404307b79a564847bd19,2021-02-04,14,238.0,11
35,61b7404307b79a564847bd4d,2021-02-05,2,34.0,1
36,61b7404307b79a564847bd6e,2021-02-06,4,68.0,2
37,61b7404307b79a564847bd85,2021-02-07,2,34.0,2
38,61b7404307b79a564847bda7,2021-02-08,1,17.0,1
39,61b7404307b79a564847bdd4,2021-02-09,6,102.0,5
40,61b7404307b79a564847bdf2,2021-02-10,5,85.0,3
41,61b7404307b79a564847be1c,2021-02-11,2,34.0,2
42,61b7404307b79a564847be49,2021-02-12,3,51.0,2
43,61b7404307b79a564847be6a,2021-02-13,3,51.0,2
44,61b7404307b79a564847be97,2021-02-14,2,34.0,1
45,61b7404307b79a564847bec0,2021-02-15,8,136.0,6
46,61b7404307b79a564847befb,2021-02-16,10,170.0,9
47,61b7404307b79a564847bf2c,2021-02-17,3,51.0,3
48,61b7404307b79a564847bf54,2021-02-18,14,238.0,10
49,61b7404307b79a564847bf81,2021-02-19,7,119.0,4
50,61b7404307b79a564847bfab,2021-02-20,7,119.0,5
51,61b7404307b79a564847bfd7,2021-02-21,1,17.0,1
52,61b7404307b79a564847bff4,2021-02-22,4,68.0,4
53,61b7404307b79a564847c01a,2021-02-23,1,17.0,1
54,61b7404307b79a564847c043,2021-02-24,6,102.0,5
55,61b7404307b79a564847c068,2021-02-25,6,102.0,5
56,61b7404307b79a564847c0bb,2021-02-27,2,34.0,2
57,61b7404307b79a564847c0e4,2021-02-28,3,51.0,3
58,61b7404307b79a564847c105,2021-03-01,2,34.0,2
59,61b7404307b79a564847c124,2021-03-02,2,34.0,1
60,61b7404307b79a564847c150,2021-03-03,4,68.0,3
61,61b7404307b79a564847c17c,2021-03-04,3,51.0,3
62,61b7404307b79a564847c1a1,2021-03-05,6,102.0,4
63,61b7404307b79a564847c1c3,2021-03-06,5,85.0,4
64,61b7404307b79a564847c1fa,2021-03-07,12,204.0,11
